,,,,VAR ETAT SYSTEME,,,VAR STATS,
HS,TYPE EVT TRAITE, ECHEANCIER, ETAT GUICHET(0=LIBRE/1=OCCUPE),NB CLIENT DANS LA QUEUE,QUEUE,NB CLIENTS RECUS, ATTENTE GLOBALE AVANT SERVICE
483.79956,AccFA,AccSrv 483.79956 : serveur0,0,0,,85,0.0,
483.79956,AccSrv,DepCl 488.95956 : serveur0,1,0,,85,0.0,
488.95956,DepCl,,0,0,,85,0.0,
489.47955,ArrCl,AccFA 489.47955 : serveur0  |   ArrCl 495.15955,0,0,,86,0.0,
489.47955,AccFA,AccSrv 489.47955 : serveur0,0,0,,86,0.0,
489.47955,AccSrv,DepCl 494.63956 : serveur0,1,0,,86,0.0,
494.63956,DepCl,,0,0,,86,0.0,
495.15955,ArrCl,AccFA 495.15955 : serveur0  |   ArrCl 500.83954,0,0,,87,0.0,
495.15955,AccFA,AccSrv 495.15955 : serveur0,0,0,,87,0.0,
495.15955,AccSrv,DepCl 500.31955 : serveur0,1,0,,87,0.0,
500.31955,DepCl,,0,0,,87,0.0,
500.83954,ArrCl,AccFA 500.83954 : serveur0  |   ArrCl 506.51953,0,0,,88,0.0,
500.83954,AccFA,AccSrv 500.83954 : serveur0,0,0,,88,0.0,
500.83954,AccSrv,DepCl 505.99954 : serveur0,1,0,,88,0.0,
505.99954,DepCl,,0,0,,88,0.0,
506.51953,ArrCl,AccFA 506.51953 : serveur0  |   ArrCl 512.1995,0,0,,89,0.0,
506.51953,AccFA,AccSrv 506.51953 : serveur0,0,0,,89,0.0,
